project_id,project_name,project_slug,cmc_id,symbol,value,previous_value,metric_slug,timestamp,unix_time
0d73e808-8129-4448-81ef-413bfa10e252,Ethereum Classic,ethereum-classic,1321,ETC,817,818.0,fcas,2021-04-18T00:00:00Z,1618704000
2cfd0088-da2e-48c0-be86-d4945acf689c,Augur,augur,1104,REP,812,814.0,fcas,2021-04-18T00:00:00Z,1618704000
07b9ceae-57a7-4166-a8c9-8728d8577755,NEM,nem,873,XEM,809,826.0,fcas,2021-04-18T00:00:00Z,1618704000
d5da00a8-98a0-4656-a367-9576f078b0fd,Decred,decred,1168,DCR,802,803.0,fcas,2021-04-18T00:00:00Z,1618704000
1058a87b-ac36-455c-b7df-53f260cd9627,Loopring,loopring,1934,LRC,799,797.0,fcas,2021-04-18T00:00:00Z,1618704000
f0859996-d0bf-4673-840c-cd0ff44c95c7,Cosmos,cosmos,3794,ATOM,798,795.0,fcas,2021-04-18T00:00:00Z,1618704000
8be3d5de-6fec-447a-9716-96be912c98a6,Fantom,,3513,FTM,797,798.0,fcas,2021-04-18T00:00:00Z,1618704000
8c6d691c-245f-4945-b9d9-da7bd2c8a511,Elrond,egld,6892,EGLD,788,788.0,fcas,2021-04-18T00:00:00Z,1618704000
fee44cef-f68c-4d70-9825-89dbda1a27ae,Stacks,stacks,4847,STX,787,790.0,fcas,2021-04-18T00:00:00Z,1618704000
4f05093e-6062-4a26-b893-9eff9b344b23,Litecoin,litecoin,2,LTC,782,780.0,fcas,2021-04-18T00:00:00Z,1618704000
a002a482-30a2-447c-a4e4-0e1e786d1c96,Waves,waves,1274,WAVES,771,766.0,fcas,2021-04-18T00:00:00Z,1618704000
ebd5f8f7-3f16-47e3-88a7-75d22c1828ca,Komodo,komodo,1521,KMD,767,767.0,fcas,2021-04-18T00:00:00Z,1618704000
2597e5e7-0c8b-46e4-bbba-7f86da8afcd9,Civic,civic,1816,CVC,761,767.0,fcas,2021-04-18T00:00:00Z,1618704000
4b273c57-eb8f-4c88-8f6f-50e4cf84c2b3,Qtum,qtum,1684,QTUM,753,746.0,fcas,2021-04-18T00:00:00Z,1618704000
24861921-4f98-46be-bd0a-05858d942e7d,Enjin Coin,enjin-coin,2130,ENJ,748,742.0,fcas,2021-04-18T00:00:00Z,1618704000
81fbcd2e-777e-4e85-a545-b9ba8968ab2a,IoTeX,iotex,2777,IOTX,742,735.0,fcas,2021-04-18T00:00:00Z,1618704000
2d7e4a2a-5ea3-47d9-82b9-4439e616a09c,XRP,xrp,52,XRP,741,869.0,fcas,2021-04-18T00:00:00Z,1618704000
b6b34c54-e724-42bd-a39e-448b7538f24e,Tezos,tezos,2011,XTZ,735,731.0,fcas,2021-04-18T00:00:00Z,1618704000
42c7e9e1-abda-4aef-b416-02fbc00d6f62,Lisk,lisk,1214,LSK,735,733.0,fcas,2021-04-18T00:00:00Z,1618704000
48881487-48c9-4dce-b2f8-d16d317109ff,Siacoin,siacoin,1042,SC,730,748.0,fcas,2021-04-18T00:00:00Z,1618704000
77aaf1d2-1697-458f-9023-844cfd6b70aa,Streamr DATAcoin,streamr-datacoin,2143,DATA,726,731.0,fcas,2021-04-18T00:00:00Z,1618704000
